Id,Victimas,AÃ±o,Tipo_calle,Direccion_Normalizada,Victima,Acusado
484,2,2023,SD,AU PERITO MORENO,SD,SD
485,2,2023,SD,AU 25 DE MAYO,SD,SD
486,2,2023,SD,AU ILLIA,SD,SD
487,2,2023,SD,AU PERITO MORENO,SD,SD
488,1,2023,SD,AV. LUGONES,SD,SD
489,2,2023,SD,AU 25 DE MAYO,SD,SD
490,3,2023,SD,AU 25 DE MAYO,SD,SD
491,3,2023,SD,AU PERITO MORENO,SD,SD
492,2,2023,SD,AU 25 DE MAYO,SD,SD
493,1,2023,SD,DIST. DELLEPIANE,SD,SD
494,2,2023,SD,AV. LUGONES,SD,SD
495,2,2023,SD,AU FRONDIZI,SD,SD
496,1,2023,SD,TRANSICION RAMAL 4,SD,SD
497,1,2023,SD,AU PERITO MORENO,SD,SD
498,1,2023,SD,AU FRONDIZI,SD,SD
499,2,2023,SD,AU 25 DE MAYO,SD,SD
500,1,2023,SD,AV. LUGONES,SD,SD
501,1,2023,SD,AU 25 DE MAYO,SD,SD
502,2,2023,SD,AU FRONDIZI,SD,SD
503,4,2023,SD,AU 25 DE MAYO,SD,SD
504,2,2023,SD,AU PERITO MORENO,SD,SD
505,3,2023,SD,AU DELLEPIANE,SD,SD
506,3,2023,SD,AU 25 DE MAYO,SD,SD
507,1,2023,SD,AU 25 DE MAYO,SD,SD
508,2,2023,SD,AU FRONDIZI,SD,SD
509,1,2023,SD,AU 25 DE MAYO,SD,SD
510,3,2023,SD,AU 25 DE MAYO,SD,SD
511,1,2023,SD,AV. CANTILO,SD,SD
512,2,2023,SD,AU PERITO MORENO,SD,SD
513,3,2023,SD,AU 25 DE MAYO,SD,SD
514,2,2023,SD,AV. CANTILO,SD,SD
515,2,2023,SD,AV. LUGONES,SD,SD
516,3,2023,SD,AU FRONDIZI,SD,SD
517,2,2023,SD,AU PERITO MORENO,SD,SD
518,2,2023,SD,AU DELLEPIANE,SD,SD
519,2,2023,SD,AU FRONDIZI,SD,SD
520,1,2023,SD,AU FRONDIZI,SD,SD
521,1,2023,SD,AU ILLIA,SD,SD
522,2,2023,SD,AU 25 DE MAYO,SD,SD
523,1,2023,SD,AU DELLEPIANE,SD,SD
524,1,2023,SD,AV. CANTILO,SD,SD
525,2,2023,SD,AU 25 DE MAYO,SD,SD
526,1,2023,SD,AU FRONDIZI,SD,SD
527,1,2023,SD,AU FRONDIZI,SD,SD
528,2,2023,SD,AU DELLEPIANE,SD,SD
529,1,2023,SD,AU DELLEPIANE,SD,SD
530,2,2023,SD,AU FRONDIZI,SD,SD
531,1,2023,SD,AU 25 DE MAYO,SD,SD
532,1,2023,SD,AV. CANTILO,SD,SD
533,1,2023,SD,AU 25 DE MAYO,SD,SD
534,2,2023,SD,AU DELLEPIANE,SD,SD
535,3,2023,SD,AU 25 DE MAYO,SD,SD
536,2,2023,SD,AV. CANTILO,SD,SD
537,3,2023,SD,AU FRONDIZI,SD,SD
538,2,2023,SD,DIST. 9 DE JULIO,SD,SD
539,1,2023,SD,AU 25 DE MAYO,SD,SD
540,2,2023,SD,AU PERITO MORENO,SD,SD
541,1,2023,SD,AU 25 DE MAYO,SD,SD
542,2,2023,SD,TRANSICION RAMAL 2,SD,SD
543,2,2023,SD,AU 25 DE MAYO,SD,SD
544,2,2023,SD,AU PERITO MORENO,SD,SD
545,2,2023,SD,AV. LUGONES,SD,SD
546,1,2023,SD,AU 25 DE MAYO,SD,SD
547,1,2023,SD,AU PERITO MORENO,SD,SD
548,2,2023,SD,AU FRONDIZI,SD,SD
549,3,2023,SD,AU 25 DE MAYO,SD,SD
550,3,2023,SD,AU DELLEPIANE,SD,SD
551,2,2023,SD,AU FRONDIZI,SD,SD
552,1,2023,SD,AU 25 DE MAYO,SD,SD
553,3,2023,SD,AU DELLEPIANE,SD,SD
554,3,2023,SD,AU 25 DE MAYO,SD,SD
555,1,2023,SD,AU DELLEPIANE,SD,SD
556,1,2023,SD,AU 25 DE MAYO,SD,SD
557,2,2023,SD,AV. LUGONES,SD,SD
558,2,2023,SD,AU 25 DE MAYO,SD,SD
559,1,2023,SD,AU 25 DE MAYO,SD,SD
560,2,2023,SD,AU DELLEPIANE,SD,SD
561,2,2023,SD,AU 25 DE MAYO,SD,SD
562,4,2023,SD,AU DELLEPIANE,SD,SD
563,2,2023,SD,AU PERITO MORENO,SD,SD
564,2,2023,SD,AU 25 DE MAYO,SD,SD
565,5,2023,SD,AU DELLEPIANE,SD,SD
566,4,2023,SD,AU ILLIA,SD,SD
567,2,2023,SD,AV. CANTILO,SD,SD
568,2,2023,SD,AV. LUGONES,SD,SD
569,3,2023,SD,AU 25 DE MAYO,SD,SD
570,2,2023,SD,AU 25 DE MAYO,SD,SD
571,3,2023,SD,AU PERITO MORENO,SD,SD
572,1,2023,SD,AU 25 DE MAYO,SD,SD
573,2,2023,SD,AU 25 DE MAYO,SD,SD
574,2,2023,SD,AU FRONDIZI,SD,SD
575,1,2023,SD,AU ILLIA,SD,SD
576,2,2023,SD,AU 25 DE MAYO,SD,SD
577,1,2023,SD,AV. LUGONES,SD,SD
578,2,2023,SD,AU DELLEPIANE,SD,SD
579,2,2023,SD,AU DELLEPIANE,SD,SD
580,1,2023,SD,TRANSICION RAMAL 2,SD,SD
581,1,2023,SD,AV. LUGONES,SD,SD
582,4,2023,SD,AU 25 DE MAYO,SD,SD
583,2,2023,SD,AV. LUGONES,SD,SD
584,1,2023,SD,AU FRONDIZI,SD,SD
585,2,2023,SD,PASEO DEL BAJO,SD,SD
586,2,2023,SD,AU DELLEPIANE,SD,SD
587,2,2023,SD,AU DELLEPIANE,SD,SD
588,2,2023,SD,AU FRONDIZI,SD,SD
589,2,2023,SD,AV. LUGONES,SD,SD
590,2,2023,SD,AU 25 DE MAYO,SD,SD
591,1,2023,SD,AU 25 DE MAYO,SD,SD
592,2,2023,SD,AU 25 DE MAYO,SD,SD
593,2,2023,SD,AU PERITO MORENO,SD,SD
594,2,2023,SD,AU 25 DE MAYO,SD,SD
595,2,2023,SD,AU 25 DE MAYO,SD,SD
596,2,2023,SD,AU 25 DE MAYO,SD,SD
597,2,2023,SD,AU 25 DE MAYO,SD,SD
598,1,2023,SD,AU 25 DE MAYO,SD,SD
599,2,2023,SD,AU 25 DE MAYO,SD,SD
600,1,2023,SD,AU ILLIA,SD,SD
601,2,2023,SD,AU PERITO MORENO,SD,SD
602,2,2023,SD,AU PERITO MORENO,SD,SD
603,1,2023,SD,AV. LUGONES,SD,SD
604,2,2023,SD,AV. CANTILO,SD,SD
605,1,2023,SD,DIST. UDAONDO,SD,SD
606,2,2023,SD,AU FRONDIZI,SD,SD
607,1,2023,SD,AU FRONDIZI,SD,SD
608,1,2023,SD,AU PERITO MORENO,SD,SD
609,2,2023,SD,AU FRONDIZI,SD,SD
610,3,2023,SD,AU 25 DE MAYO,SD,SD
611,1,2023,SD,AU DELLEPIANE,SD,SD
612,1,2023,SD,AU 25 DE MAYO,SD,SD
613,1,2023,SD,AU ILLIA,SD,SD
614,1,2023,SD,AU DELLEPIANE,SD,SD
615,2,2023,SD,AU 25 DE MAYO,SD,SD
616,2,2023,SD,PASEO DEL BAJO,SD,SD
617,1,2023,SD,AU ILLIA,SD,SD
618,2,2023,SD,AU 25 DE MAYO,SD,SD
619,2,2023,SD,AU 25 DE MAYO,SD,SD
620,2,2023,SD,AU 25 DE MAYO,SD,SD
621,2,2023,SD,AU 25 DE MAYO,SD,SD
622,2,2023,SD,AV. CANTILO,SD,SD
623,1,2023,SD,AU PERITO MORENO,SD,SD
624,2,2023,SD,AV. CANTILO,SD,SD
625,2,2023,SD,AU ILLIA,SD,SD
626,2,2023,SD,AU FRONDIZI,SD,SD
627,2,2023,SD,AU PERITO MORENO,SD,SD
628,1,2023,SD,AU DELLEPIANE,SD,SD
629,2,2023,SD,AU 25 DE MAYO,SD,SD
630,2,2023,SD,AU 25 DE MAYO,SD,SD
631,2,2023,SD,AU 25 DE MAYO,SD,SD
632,1,2023,SD,AV. LUGONES,SD,SD
633,1,2023,SD,AU 25 DE MAYO,SD,SD
634,2,2023,SD,AU 25 DE MAYO,SD,SD
635,3,2023,SD,AU PERITO MORENO,SD,SD
636,2,2023,SD,AU ILLIA,SD,SD
637,1,2023,SD,AV. LUGONES,SD,SD
638,2,2023,SD,AV. LUGONES,SD,SD
639,3,2023,SD,AV. LUGONES,SD,SD
640,1,2023,SD,AU FRONDIZI,SD,SD
641,3,2023,SD,AU FRONDIZI,SD,SD
642,1,2023,SD,AU DELLEPIANE,SD,SD
643,1,2023,SD,AU DELLEPIANE,SD,SD
644,2,2023,SD,AU FRONDIZI,SD,SD
645,1,2023,SD,AU 25 DE MAYO,SD,SD
646,3,2023,SD,AU FRONDIZI,SD,SD
647,2,2023,SD,AU 25 DE MAYO,SD,SD
648,2,2023,SD,AU FRONDIZI,SD,SD
649,2,2023,SD,AU 25 DE MAYO,SD,SD
650,2,2023,SD,AU 25 DE MAYO,SD,SD
651,1,2023,SD,AU DELLEPIANE,SD,SD
652,1,2023,SD,DIST. DELLEPIANE,SD,SD
653,1,2023,SD,AU 25 DE MAYO,SD,SD
654,2,2023,SD,AV. CANTILO,SD,SD
655,2,2023,SD,AV. LUGONES,SD,SD
656,1,2023,SD,AU PERITO MORENO,SD,SD
657,2,2023,SD,AV. CANTILO,SD,SD
658,3,2023,SD,AU DELLEPIANE,SD,SD
659,1,2023,SD,AU 25 DE MAYO,SD,SD
660,1,2023,SD,AU PERITO MORENO,SD,SD
661,1,2023,SD,AU PERITO MORENO,SD,SD
662,1,2023,SD,AU ILLIA,SD,SD
663,2,2023,SD,AU PERITO MORENO,SD,SD
664,4,2023,SD,AU DELLEPIANE,SD,SD
665,2,2023,SD,AU 25 DE MAYO,SD,SD
666,3,2023,SD,AU DELLEPIANE,SD,SD
667,1,2023,SD,AU DELLEPIANE,SD,SD
668,2,2023,SD,AU PERITO MORENO,SD,SD
669,1,2023,SD,AU FRONDIZI,SD,SD
670,1,2023,SD,AU 25 DE MAYO,SD,SD
671,1,2023,SD,AU ILLIA,SD,SD
672,1,2023,SD,AU ILLIA,SD,SD
673,2,2023,SD,AV. LUGONES,SD,SD
674,1,2023,SD,AV. LUGONES,SD,SD
675,1,2023,SD,AU 25 DE MAYO,SD,SD
676,1,2023,SD,AU ILLIA,SD,SD
677,3,2023,SD,AU 25 DE MAYO,SD,SD
678,1,2023,SD,AU 25 DE MAYO,SD,SD
679,1,2023,SD,AU 25 DE MAYO,SD,SD
680,2,2023,SD,AV. LUGONES,SD,SD
681,2,2023,SD,AU ILLIA,SD,SD
682,2,2023,SD,AU 25 DE MAYO,SD,SD
683,2,2023,SD,AU PERITO MORENO,SD,SD
684,1,2023,SD,AU 25 DE MAYO,SD,SD
685,3,2023,SD,AU PERITO MORENO,SD,SD
686,2,2023,SD,AU DELLEPIANE,SD,SD
687,2,2023,SD,AU 25 DE MAYO,SD,SD
688,2,2023,SD,AU FRONDIZI,SD,SD
689,1,2023,SD,AU PERITO MORENO,SD,SD
690,1,2023,SD,AU 25 DE MAYO,SD,SD
691,1,2023,SD,AU 25 DE MAYO,SD,SD
692,3,2023,SD,AU PERITO MORENO,SD,SD
693,2,2023,SD,AU PERITO MORENO,SD,SD
694,1,2023,SD,AU 25 DE MAYO,SD,SD
695,2,2023,SD,AU 25 DE MAYO,SD,SD
696,1,2023,SD,AU PERITO MORENO,SD,SD
697,1,2023,SD,AU DELLEPIANE,SD,SD
698,1,2023,SD,AV. LUGONES,SD,SD
699,1,2023,SD,AV. LUGONES,SD,SD
700,5,2023,SD,AV. LUGONES,SD,SD
701,1,2023,SD,PASEO DEL BAJO,SD,SD
702,2,2023,SD,AV. CANTILO,SD,SD
703,1,2023,SD,AU DELLEPIANE,SD,SD
704,3,2023,SD,AU PERITO MORENO,SD,SD
705,2,2023,SD,AU DELLEPIANE,SD,SD
706,2,2023,SD,AU PERITO MORENO,SD,SD
707,2,2023,SD,AU 25 DE MAYO,SD,SD
708,3,2023,SD,AU PERITO MORENO,SD,SD
709,1,2023,SD,AU 25 DE MAYO,SD,SD
710,2,2023,SD,AV. LUGONES,SD,SD
711,1,2023,SD,AV. CANTILO,SD,SD
712,2,2023,SD,AV. CANTILO,SD,SD
713,2,2023,SD,AU DELLEPIANE,SD,SD
714,1,2023,SD,AU 25 DE MAYO,SD,SD
715,2,2023,SD,AU 25 DE MAYO,SD,SD
716,1,2023,SD,AU PERITO MORENO,SD,SD
717,5,2023,SD,AU ILLIA,SD,SD
718,1,2023,SD,AU FRONDIZI,SD,SD
719,2,2023,SD,AU 25 DE MAYO,SD,SD
720,1,2023,SD,AU PERITO MORENO,SD,SD
721,2,2023,SD,AU 25 DE MAYO,SD,SD
722,2,2023,SD,AU FRONDIZI,SD,SD
723,2,2023,SD,AV. LUGONES,SD,SD
724,2,2023,SD,AV. LUGONES,SD,SD
725,2,2023,SD,AU CAMPORA,SD,SD
726,2,2023,SD,AU DELLEPIANE,SD,SD
727,2,2023,SD,AU 25 DE MAYO,SD,SD
728,2,2023,SD,AU PERITO MORENO,SD,SD
729,1,2023,SD,AU PERITO MORENO,SD,SD
730,1,2023,SD,PASEO DEL BAJO,SD,SD
731,2,2023,SD,AV. LUGONES,SD,SD
732,2,2023,SD,AU FRONDIZI,SD,SD
733,2,2023,SD,AV. CANTILO,SD,SD
734,3,2023,SD,TRANSICION RAMAL 2,SD,SD
735,2,2023,SD,AU ILLIA,SD,SD
736,1,2023,SD,AU PERITO MORENO,SD,SD
737,1,2023,SD,AU PERITO MORENO,SD,SD
738,2,2023,SD,AU DELLEPIANE,SD,SD
739,2,2023,SD,AU 25 DE MAYO,SD,SD
740,1,2023,SD,TRANSICION RAMAL 3,SD,SD
741,1,2023,SD,AU PERITO MORENO,SD,SD
742,1,2023,SD,AU 25 DE MAYO,SD,SD
743,2,2023,SD,AU FRONDIZI,SD,SD
744,2,2023,SD,AU 25 DE MAYO,SD,SD
745,1,2023,SD,AV. LUGONES,SD,SD
746,2,2023,SD,AU 25 DE MAYO,SD,SD
747,2,2023,SD,AV. CANTILO,SD,SD
748,2,2023,SD,AU 25 DE MAYO,SD,SD
749,2,2023,SD,AU FRONDIZI,SD,SD
750,2,2023,SD,AU DELLEPIANE,SD,SD
751,2,2023,SD,AU DELLEPIANE,SD,SD
752,2,2023,SD,AV. LUGONES,SD,SD
753,2,2023,SD,AU DELLEPIANE,SD,SD
754,2,2023,SD,AU CAMPORA,SD,SD
755,3,2023,SD,AU 25 DE MAYO,SD,SD
756,2,2023,SD,AU PERITO MORENO,SD,SD
757,2,2023,SD,AU 25 DE MAYO,SD,SD
758,2,2023,SD,AU 25 DE MAYO,SD,SD
759,2,2023,SD,AU ILLIA,SD,SD
760,1,2023,SD,AU DELLEPIANE,SD,SD
761,1,2023,SD,AV. LUGONES,SD,SD
762,2,2023,SD,AV. LUGONES,SD,SD
763,2,2023,SD,AU 25 DE MAYO,SD,SD
764,2,2023,SD,AV. LUGONES,SD,SD
765,3,2023,SD,AV. LUGONES,SD,SD
766,2,2023,SD,AV. LUGONES,SD,SD
767,2,2023,SD,AU 25 DE MAYO,SD,SD
768,1,2023,SD,AU 25 DE MAYO,SD,SD
769,1,2023,SD,AU 25 DE MAYO,SD,SD
770,1,2023,SD,AU 25 DE MAYO,SD,SD
771,1,2023,SD,AU PERITO MORENO,SD,SD
772,2,2023,SD,AU PERITO MORENO,SD,SD
773,1,2023,SD,AU FRONDIZI,SD,SD
774,1,2023,SD,AU CAMPORA,SD,SD
775,1,2023,SD,TRANSICION RAMAL 4,SD,SD
776,1,2023,SD,AU DELLEPIANE,SD,SD
777,2,2023,SD,AU PERITO MORENO,SD,SD
778,1,2023,SD,AU 25 DE MAYO,SD,SD
779,2,2023,SD,AU ILLIA,SD,SD
780,2,2023,SD,AU FRONDIZI,SD,SD
781,3,2023,SD,AU DELLEPIANE,SD,SD
782,2,2023,SD,AV. LUGONES,SD,SD
783,2,2023,SD,AU PERITO MORENO,SD,SD
784,1,2023,SD,AV. CANTILO,SD,SD
785,1,2023,SD,DIST. 9 DE JULIO,SD,SD
786,1,2023,SD,AV. LUGONES,SD,SD
787,1,2023,SD,AU 25 DE MAYO,SD,SD
788,1,2023,SD,AU 25 DE MAYO,SD,SD
789,2,2023,SD,AU PERITO MORENO,SD,SD
790,1,2023,SD,DIST. DELLEPIANE,SD,SD
791,3,2023,SD,AU 25 DE MAYO,SD,SD
792,2,2023,SD,AU 25 DE MAYO,SD,SD
793,1,2023,SD,AU PERITO MORENO,SD,SD
794,1,2023,SD,AU DELLEPIANE,SD,SD
795,1,2023,SD,PASEO DEL BAJO,SD,SD
796,2,2023,SD,AV. LUGONES,SD,SD
797,1,2023,SD,AV. CANTILO,SD,SD
798,3,2023,SD,AU PERITO MORENO,SD,SD
799,4,2023,SD,AV. LUGONES,SD,SD
800,2,2023,SD,AV. LUGONES,SD,SD
801,2,2023,SD,AU FRONDIZI,SD,SD
802,4,2023,SD,AV. LUGONES,SD,SD
803,2,2023,SD,AU DELLEPIANE,SD,SD
804,2,2023,SD,AU FRONDIZI,SD,SD
805,3,2023,SD,AU ILLIA,SD,SD
806,2,2023,SD,AU 25 DE MAYO,SD,SD
807,4,2023,SD,AU 25 DE MAYO,SD,SD
808,1,2023,SD,AU 25 DE MAYO,SD,SD
809,1,2023,SD,AU PERITO MORENO,SD,SD
810,2,2023,SD,PASEO DEL BAJO,SD,SD
811,1,2023,SD,AU 25 DE MAYO,SD,SD
812,1,2023,SD,AV. LUGONES,SD,SD
813,1,2023,SD,AU DELLEPIANE,SD,SD
814,1,2023,SD,AU DELLEPIANE,SD,SD
815,1,2023,SD,AV. LUGONES,SD,SD
816,1,2023,SD,AV. LUGONES,SD,SD
817,1,2023,SD,AU 25 DE MAYO,SD,SD
818,1,2023,SD,AU 25 DE MAYO,SD,SD
819,2,2023,SD,AU 25 DE MAYO,SD,SD
820,1,2023,SD,AV. CANTILO,SD,SD
821,1,2023,SD,AV. CANTILO,SD,SD
822,3,2023,SD,AU 25 DE MAYO,SD,SD
823,1,2023,SD,AV. LUGONES,SD,SD
824,1,2023,SD,AV. LUGONES,SD,SD
825,1,2023,SD,AU 25 DE MAYO,SD,SD
826,2,2023,SD,AV. LUGONES,SD,SD
827,3,2023,SD,AU DELLEPIANE,SD,SD
828,1,2023,SD,AV. LUGONES,SD,SD
829,3,2023,SD,AU 25 DE MAYO,SD,SD
830,2,2023,SD,AU ILLIA,SD,SD
831,1,2023,SD,AU DELLEPIANE,SD,SD
832,2,2023,SD,AU 25 DE MAYO,SD,SD
833,1,2023,SD,AV. LUGONES,SD,SD
834,1,2023,SD,AU DELLEPIANE,SD,SD
835,1,2023,SD,AV. CANTILO,SD,SD
836,2,2023,SD,AU PERITO MORENO,SD,SD
837,4,2023,SD,AU 25 DE MAYO,SD,SD
838,1,2023,SD,AV. LUGONES,SD,SD
839,3,2023,SD,AU 25 DE MAYO,SD,SD
840,2,2023,SD,AU ILLIA,SD,SD
841,1,2023,SD,AU 25 DE MAYO,SD,SD
842,3,2023,SD,AV. CANTILO,SD,SD
843,1,2023,SD,AV. LUGONES,SD,SD
844,1,2023,SD,AU FRONDIZI,SD,SD
845,2,2023,SD,AU 25 DE MAYO,SD,SD
846,1,2023,SD,AV. LUGONES,SD,SD
847,1,2023,SD,AU 25 DE MAYO,SD,SD
848,1,2023,SD,AV. LUGONES,SD,SD
849,1,2023,SD,AU DELLEPIANE,SD,SD
850,2,2023,SD,AU 25 DE MAYO,SD,SD
851,2,2023,SD,AV. CANTILO,SD,SD
852,2,2023,SD,AU 25 DE MAYO,SD,SD
853,1,2023,SD,TRANSICION RAMAL 2,SD,SD
854,2,2023,SD,AU PERITO MORENO,SD,SD
855,1,2023,SD,AV. LUGONES,SD,SD
856,1,2023,SD,AV. CANTILO,SD,SD
857,3,2023,SD,AU FRONDIZI,SD,SD
858,1,2023,SD,AU DELLEPIANE,SD,SD
859,3,2023,SD,AU ILLIA,SD,SD
860,1,2023,SD,AU FRONDIZI,SD,SD
861,2,2023,SD,AU FRONDIZI,SD,SD
862,2,2023,SD,AU 25 DE MAYO,SD,SD
863,2,2023,SD,AV. CANTILO,SD,SD
864,1,2023,SD,AU ILLIA,SD,SD
865,1,2023,SD,AU PERITO MORENO,SD,SD
866,1,2023,SD,AU DELLEPIANE,SD,SD
867,2,2023,SD,AU 25 DE MAYO,SD,SD
868,2,2023,SD,AU 25 DE MAYO,SD,SD
869,2,2023,SD,AU PERITO MORENO,SD,SD
870,1,2023,SD,AU 25 DE MAYO,SD,SD
871,2,2023,SD,AU 25 DE MAYO,SD,SD
872,2,2023,SD,AU FRONDIZI,SD,SD
873,1,2023,SD,AV. CANTILO,SD,SD
874,1,2023,SD,AU ILLIA,SD,SD
875,2,2023,SD,AU DELLEPIANE,SD,SD
876,1,2023,SD,AU 25 DE MAYO,SD,SD
877,2,2023,SD,AU PERITO MORENO,SD,SD
878,1,2023,SD,AU PERITO MORENO,SD,SD
879,2,2023,SD,AU DELLEPIANE,SD,SD
880,1,2023,SD,AU ILLIA,SD,SD
881,2,2023,SD,AV. LUGONES,SD,SD
882,2,2023,SD,AU 25 DE MAYO,SD,SD
883,2,2023,SD,AU DELLEPIANE,SD,SD
884,1,2023,SD,AU DELLEPIANE,SD,SD
885,1,2023,SD,AU DELLEPIANE,SD,SD
886,2,2023,SD,AU PERITO MORENO,SD,SD
887,1,2023,SD,AU PERITO MORENO,SD,SD
888,2,2023,SD,AV. CANTILO,SD,SD
889,2,2023,SD,AU 25 DE MAYO,SD,SD
890,2,2023,SD,AU FRONDIZI,SD,SD
891,2,2023,SD,AV. CANTILO,SD,SD
892,1,2023,SD,AU ILLIA,SD,SD
893,1,2023,SD,AU PERITO MORENO,SD,SD
894,2,2023,SD,AU 25 DE MAYO,SD,SD
895,1,2023,SD,AV. CANTILO,SD,SD
896,1,2023,SD,AU 25 DE MAYO,SD,SD
897,1,2023,SD,AU FRONDIZI,SD,SD
898,2,2023,SD,PASEO DEL BAJO,SD,SD
899,2,2023,SD,AU 25 DE MAYO,SD,SD
900,2,2023,SD,AU ILLIA,SD,SD
901,3,2023,SD,AU 25 DE MAYO,SD,SD
902,2,2023,SD,AU 25 DE MAYO,SD,SD
903,1,2023,SD,AU 25 DE MAYO,SD,SD
904,2,2023,SD,AU 25 DE MAYO,SD,SD
905,1,2023,SD,AU ILLIA,SD,SD
906,2,2023,SD,AU PERITO MORENO,SD,SD
907,2,2023,SD,AU DELLEPIANE,SD,SD
908,1,2023,SD,AU FRONDIZI,SD,SD
909,2,2023,SD,AU PERITO MORENO,SD,SD
910,4,2023,SD,DIST. 9 DE JULIO,SD,SD
911,2,2023,SD,AU 25 DE MAYO,SD,SD
912,1,2023,SD,AU DELLEPIANE,SD,SD
913,1,2023,SD,AU ILLIA,SD,SD
914,2,2023,SD,AU PERITO MORENO,SD,SD
915,2,2023,SD,AU PERITO MORENO,SD,SD
916,6,2023,SD,AU 25 DE MAYO,SD,SD
917,1,2023,SD,AU 25 DE MAYO,SD,SD
918,2,2023,SD,AU 25 DE MAYO,SD,SD
919,2,2023,SD,AU 25 DE MAYO,SD,SD
920,1,2023,SD,AU 25 DE MAYO,SD,SD
921,3,2023,SD,AU DELLEPIANE,SD,SD
922,1,2023,SD,DIST. 9 DE JULIO,SD,SD
923,1,2023,SD,DIST. 9 DE JULIO,SD,SD
924,2,2023,SD,AV. CANTILO,SD,SD
925,2,2023,SD,PASEO DEL BAJO,SD,SD
926,2,2023,SD,AU 25 DE MAYO,SD,SD
927,1,2023,SD,AV. CANTILO,SD,SD
928,2,2023,SD,PASEO DEL BAJO,SD,SD
929,2,2023,SD,AU 25 DE MAYO,SD,SD
930,1,2023,SD,PASEO DEL BAJO,SD,SD
931,2,2023,SD,AU DELLEPIANE,SD,SD
932,1,2023,SD,AU 25 DE MAYO,SD,SD
933,1,2023,SD,AU ILLIA,SD,SD
934,1,2023,SD,AV. CANTILO,SD,SD
935,3,2023,SD,TRANSICION RAMAL 2,SD,SD
936,2,2023,SD,TRANSICION RAMAL 3,SD,SD
937,3,2023,SD,AU 25 DE MAYO,SD,SD
938,1,2023,SD,AU 25 DE MAYO,SD,SD
939,1,2023,SD,AU 25 DE MAYO,SD,SD
940,3,2023,SD,AV. LUGONES,SD,SD
941,1,2023,SD,AU PERITO MORENO,SD,SD
942,2,2023,SD,DIST. 9 DE JULIO,SD,SD
943,2,2023,SD,PASEO DEL BAJO,SD,SD
944,2,2023,SD,AU 25 DE MAYO,SD,SD
945,1,2023,SD,AU PERITO MORENO,SD,SD
946,1,2023,SD,AV. LUGONES,SD,SD
947,1,2023,SD,AU DELLEPIANE,SD,SD
948,2,2023,SD,AU 25 DE MAYO,SD,SD
949,2,2023,SD,AU PERITO MORENO,SD,SD
950,3,2023,SD,AU PERITO MORENO,SD,SD
951,2,2023,SD,AU 25 DE MAYO,SD,SD
952,2,2023,SD,AU DELLEPIANE,SD,SD
953,2,2023,SD,AU 25 DE MAYO,SD,SD
954,2,2023,SD,AV. LUGONES,SD,SD
955,2,2023,SD,AV. CANTILO,SD,SD
956,3,2023,SD,AU DELLEPIANE,SD,SD
957,1,2023,SD,PASEO DEL BAJO,SD,SD
958,2,2023,SD,AU 25 DE MAYO,SD,SD
959,1,2023,SD,AU 25 DE MAYO,SD,SD
960,2,2023,SD,AU 25 DE MAYO,SD,SD
961,4,2023,SD,AU ILLIA,SD,SD
962,3,2023,SD,AU 25 DE MAYO,SD,SD
963,1,2023,SD,AU PERITO MORENO,SD,SD
964,2,2023,SD,AU ILLIA,SD,SD
965,1,2023,SD,AU CAMPORA,SD,SD
966,2,2023,SD,TRANSICION RAMAL 3,SD,SD
